#GeneID,Locus,Locus tag,Protein Name
3641563,"SKN7","CAALFM_C500240WA","kinase-regulated stress-responsive transcription factor"
3641562,,"CAALFM_C500250CA","hypothetical protein CAALFM_C500250CA"
3641561,,"CAALFM_C500260WA","ribose phosphate diphosphokinase subunit"
3641560,"PGA14","CAALFM_C500270WA","Pga14p"
3641581,,"CAALFM_C500280CA","ribonuclease"
3641580,"DUS4","CAALFM_C500290WA","tRNA dihydrouridine synthase"
3641578,"SMC4","CAALFM_C500300CA","condensin subunit"
3641576,,"CAALFM_C500310CA","hypothetical protein CAALFM_C500310CA"
30515291,,"CAALFM_C500320WA","putative mitochondrial 54S ribosomal protein"
3641556,,"CAALFM_C500330CA","hypothetical protein CAALFM_C500330CA"
3641555,,"CAALFM_C500340WA","hypothetical protein CAALFM_C500340WA"
3641554,,"CAALFM_C500350CA","hypothetical protein CAALFM_C500350CA"
30515293,"COF1","CAALFM_C500370WA","cofilin"
3641553,,"CAALFM_C500380WA","hypothetical protein CAALFM_C500380WA"
3641552,,"CAALFM_C500390CA","hypothetical protein CAALFM_C500390CA"
3641550,,"CAALFM_C500400CA","hypothetical protein CAALFM_C500400CA"
3641548,"MRP17","CAALFM_C500420CA","mitochondrial 37S ribosomal protein YmS16"
3641547,"MET14","CAALFM_C500430WA","adenylyl-sulfate kinase"
3641546,"VPS2","CAALFM_C500440CA","ESCRT-III subunit protein"
3641545,"IFG3","CAALFM_C500450CA","Ifg3p"
3641544,"FET33","CAALFM_C500460CA","putative oxidoreductase"
3641543,"KRE62","CAALFM_C500470CA","Kre62p"
3641542,"SEC14","CAALFM_C500480CA","phosphatidylinositol/phosphatidylcholine transfer protein"
3641541,"BUD2","CAALFM_C500490CA","Bud2p"
3641540,"NAM7","CAALFM_C500500WA","ATP-dependent RNA helicase"
3641539,,"CAALFM_C500510WA","hypothetical protein CAALFM_C500510WA"
3641537,,"CAALFM_C500530WA","hypothetical protein CAALFM_C500530WA"
3641536,"AGA1","CAALFM_C500540CA","Aga1p"
3641535,,"CAALFM_C500550CA","hypothetical protein CAALFM_C500550CA"
3648267,,"CAALFM_C500560WA","E2 ubiquitin-conjugating protein"
3641589,,"CAALFM_C500570WA","aminophospholipid-translocating P4-type ATPase"
3641588,,"CAALFM_C500580WA","hypothetical protein CAALFM_C500580WA"
3641587,"PET9","CAALFM_C500590WA","ADP/ATP carrier protein"
3641586,,"CAALFM_C500600CA","hypothetical protein CAALFM_C500600CA"
3641585,,"CAALFM_C500610CA","hypothetical protein CAALFM_C500610CA"
3641584,,"CAALFM_C500620WA","hypothetical protein CAALFM_C500620WA"
3641583,"EXO1","CAALFM_C500630CA","Rad2 family nuclease"
3641582,"SAM51","CAALFM_C500640CA","Sam51p"
3641572,"THR1","CAALFM_C500650CA","homoserine kinase"
3641571,"ERG11","CAALFM_C500660CA","sterol 14-demethylase"
3641570,"HMS1","CAALFM_C500670CA","Hms1p"
3641569,"RMT2","CAALFM_C500680WA","protein-arginine N5-methyltransferase"
3644115,"TFB3","CAALFM_C500690CA","TFIIH/NER complex subunit"
3644116,"SPE2","CAALFM_C500700CA","adenosylmethionine decarboxylase"
3644117,"IFF8","CAALFM_C500710WA","Iff8p"
3644119,"HYR3","CAALFM_C500730WA","Hyr3p"
3644120,"CTF8","CAALFM_C500740WA","Ctf8p"
3644121,,"CAALFM_C500750CA","hypothetical protein CAALFM_C500750CA"
3644122,,"CAALFM_C500760WA","Rab GTPase-activating protein"
3644123,"FOL1","CAALFM_C500770CA","trifunctional dihydropteroate synthetase/dihydrohydroxymethylpterin pyrophosphokinase/dihydroneopterin aldolase"
3644124,,"CAALFM_C500780CA","hypothetical protein CAALFM_C500780CA"
3644125,,"CAALFM_C500790CA","Nrd1 complex RNA-binding subunit"
3644126,,"CAALFM_C500800CA","dioxygenase"
3644127,,"CAALFM_C500810CA","hypothetical protein CAALFM_C500810CA"
3644128,,"CAALFM_C500820WA","mitochondrial 54S ribosomal protein YmL17/YmL30"
3644129,"ERV46","CAALFM_C500830CA","Erv46p"
3644130,,"CAALFM_C500840WA","hypothetical protein CAALFM_C500840WA"
3642637,,"CAALFM_C500850CA","hypothetical protein CAALFM_C500850CA"
3642636,"IMP2","CAALFM_C500860WA","endopeptidase catalytic subunit"
3642635,"GIT4","CAALFM_C500870CA","Git4p"
3642634,"GIT3","CAALFM_C500880CA","Git3p"
3642633,"GIT2","CAALFM_C500890CA","Git2p"
3642632,"URA4","CAALFM_C500900CA","dihydroorotase"
3642631,"TRX2","CAALFM_C500910CA","Trx2p"
3642630,,"CAALFM_C500920WA","U4/U6-U5 snRNP complex subunit"
3642655,"TFS1","CAALFM_C500930CA","Tfs1p"
3642654,"HAP5","CAALFM_C500940CA","Hap5p"
3642653,,"CAALFM_C500950CA","S-adenosylmethionine-dependent methyltransferase"
3642652,"TRY3","CAALFM_C500980WA","Try3p"
3642651,,"CAALFM_C501000CA","hypothetical protein CAALFM_C501000CA"
3642650,"CCW14","CAALFM_C501010WA","Ccw14p"
30515297,,"CAALFM_C501020CA","hypothetical protein CAALFM_C501020CA"
3642649,,"CAALFM_C501040WA","hypothetical protein CAALFM_C501040WA"
3642648,,"CAALFM_C501050CA","mitochondrial 54S ribosomal protein IMG1"
3642629,"BUD23","CAALFM_C501060CA","18S rRNA (guanine1575-N7)-methyltransferase"
3642627,,"CAALFM_C501070CA","hypothetical protein CAALFM_C501070CA"
3642626,"GDS1","CAALFM_C501080CA","Gds1p"
3642625,,"CAALFM_C501090CA","hypothetical protein CAALFM_C501090CA"
3642624,"CLN3","CAALFM_C501100CA","cyclin"
3642623,,"CAALFM_C501110WA","hypothetical protein CAALFM_C501110WA"
3642621,"CYC3","CAALFM_C501130WA","holocytochrome c synthase"
3642663,,"CAALFM_C501140CA","hypothetical protein CAALFM_C501140CA"
3642662,,"CAALFM_C501170WA","hypothetical protein CAALFM_C501170WA"
3642661,"PUS4","CAALFM_C501180WA","pseudouridine synthase"
3642659,,"CAALFM_C501190WA","hypothetical protein CAALFM_C501190WA"
3642657,,"CAALFM_C501200WA","ADP-ribose 1\\'\\'-phosphate phosphatase"
3642656,"VPS1","CAALFM_C501210WA","dynamin-like GTPase"
3642620,,"CAALFM_C501220WA","hypothetical protein CAALFM_C501220WA"
3642618,,"CAALFM_C501230CA","glucose-6-phosphate 1-epimerase"
3642617,"AUR1","CAALFM_C501240WA","inositol phosphorylceramide synthase"
3642616,"GPR1","CAALFM_C501250WA","Gpr1p"
3642615,,"CAALFM_C501260WA","hypothetical protein CAALFM_C501260WA"
3642614,"SGE1","CAALFM_C501270WA","Sge1p"
3642613,"NUF2","CAALFM_C501280CA","kinetochore-associated Ndc80 complex subunit"
3642647,,"CAALFM_C501290CA","putative monooxygenase"
3642646,,"CAALFM_C501300CA","mRNA-binding phosphate metabolism regulator"
3642645,,"CAALFM_C501310WA","hypothetical protein CAALFM_C501310WA"
3642643,"SNF1","CAALFM_C501320WA","AMP-activated serine/threonine-protein kinase catalytic subunit"
3642641,"HST3","CAALFM_C501340WA","NAD-dependent histone deacetylase"
3642640,,"CAALFM_C501350WA","hypothetical protein CAALFM_C501350WA"
3642639,"CFL4","CAALFM_C501360WA","ferric/cupric-chelate reductase"
3642612,"CFL5","CAALFM_C501380WA","ferric-chelate reductase"
3642609,"SNM1","CAALFM_C501390CA","Snm1p"
3647052,"SEF2","CAALFM_C501400WA","Sef2p"
3647054,,"CAALFM_C501410CA","hypothetical protein CAALFM_C501410CA"
3647055,,"CAALFM_C501420WA","hypothetical protein CAALFM_C501420WA"
3647056,,"CAALFM_C501430CA","hypothetical protein CAALFM_C501430CA"
3647043,,"CAALFM_C501440CA","palmitoyltransferase"
3647044,"PRC2","CAALFM_C501450WA","Prc2p"
3647045,"YBL053","CAALFM_C501460WA","Ybl053p"
3647050,,"CAALFM_C501470CA","hypothetical protein CAALFM_C501470CA"
3647057,"FYV5","CAALFM_C501480WA","Fyv5p"
3647058,,"CAALFM_C501490CA","hypothetical protein CAALFM_C501490CA"
3647059,"ZCF20","CAALFM_C501500CA","Zcf20p"
3647060,"SMD3","CAALFM_C501510WA","mRNA splicing protein"
3647061,"GLR1","CAALFM_C501520CA","glutathione-disulfide reductase"
3647062,,"CAALFM_C501530CA","hypothetical protein CAALFM_C501530CA"
30515301,,"CAALFM_C501540WA","ribosomal 40S subunit protein S11A"
3647063,,"CAALFM_C501550CA","hypothetical protein CAALFM_C501550CA"
3647064,,"CAALFM_C501560CA","glutathione-disulfide reductase"
3647039,"SPO1","CAALFM_C501570CA","putative carboxylic ester hydrolase"
3647040,"CEF3","CAALFM_C501580CA","translation elongation factor EF-3"
3647041,,"CAALFM_C501590WA","hypothetical protein CAALFM_C501590WA"
3647252,"SPB4","CAALFM_C501600CA","putative ATP-dependent RNA helicase"
3647251,,"CAALFM_C501610WA","pseudouridine synthase"
3647250,"VPS22","CAALFM_C501620CA","ESCRT-II subunit protein"
3647249,"MAS2","CAALFM_C501640WA","mitochondrial-processing protease subunit alpha"
3647248,"MYO1","CAALFM_C501650CA","myosin 1"
3643736,"DAL52","CAALFM_C501670WA","Dal52p"
3643735,"CCN1","CAALFM_C501680CA","Ccn1p"
3643734,"CCT7","CAALFM_C501690CA","chaperonin-containing T-complex subunit"
3643733,"MRPL36","CAALFM_C501700WA","mitochondrial 54S ribosomal protein YmL36"
3643732,,"CAALFM_C501710CA","hypothetical protein CAALFM_C501710CA"
3643731,"RCY1","CAALFM_C501720CA","Rcy1p"
3643730,,"CAALFM_C501730WA","hypothetical protein CAALFM_C501730WA, partial"
3643729,"MTLA1","CAALFM_C501740CA","Mtla1p"
3643766,"MTLA2","CAALFM_C501750CA","Mtla2p"
3643765,"PIKA","CAALFM_C501760CA","1-phosphatidylinositol 4-kinase"
3643764,"OBPA","CAALFM_C501770CA","oxysterol-binding protein related protein"
3643763,"PAP1","CAALFM_C501780WA","polynucleotide adenylyltransferase"
3643761,"HIP1","CAALFM_C501800CA","Hip1p"
3643760,"FCR3","CAALFM_C501810WA","Fcr3p"
3643758,"STI1","CAALFM_C501820WA","Hsp90 cochaperone"
3643757,"HAL9","CAALFM_C501830CA","Hal9p"
3643755,"TAC1","CAALFM_C501840CA","Tac1p"
3643754,"ZNC1","CAALFM_C501850CA","Znc1p"
3643752,,"CAALFM_C501870WA","peptide alpha-N-acetyltransferase complex A subunit"
3643751,,"CAALFM_C501880CA","hypothetical protein CAALFM_C501880CA"
3643750,,"CAALFM_C501890WA","hypothetical protein CAALFM_C501890WA"
30515302,,"CAALFM_C501900CA","hypothetical protein CAALFM_C501900CA"
3643744,"GIS2","CAALFM_C501910WA","mRNA-binding translational activator"
3643742,,"CAALFM_C501920CA","phosphoinositide 5-phosphatase"
3643741,,"CAALFM_C501930WA","SF3a splicing factor complex subunit"
3643740,,"CAALFM_C501940WA","bifunctional DRAP deaminase/tRNA pseudouridine synthase"
3643739,"RIM21","CAALFM_C501950CA","Rim21p"
3643738,,"CAALFM_C501960CA","putative electron-transferring-flavoprotein dehydrogenase"
3643737,"CDC24","CAALFM_C501970CA","Rho family guanine nucleotide exchange factor"
3643775,,"CAALFM_C501980CA","hypothetical protein CAALFM_C501980CA"
3643774,,"CAALFM_C501990WA","hypothetical protein CAALFM_C501990WA, partial"
3643773,"ACH1","CAALFM_C502000CA","acetyl-CoA hydrolase"
3643772,,"CAALFM_C502010CA","hypothetical protein CAALFM_C502010CA"
3643771,,"CAALFM_C502020CA","putative GTPase"
3643770,"RPN8","CAALFM_C502030WA","proteasome regulatory particle lid subunit"
3643769,,"CAALFM_C502040WA","protoheme IX farnesyltransferase"
3643768,,"CAALFM_C502050WA","hypothetical protein CAALFM_C502050WA"
3643748,,"CAALFM_C502060WA","hypothetical protein CAALFM_C502060WA"
3643746,,"CAALFM_C502070CA","RNA-binding ATPase activator"
3643745,"HSP12","CAALFM_C502080CA","Hsp12p"
3637732,,"CAALFM_C502110WA","lipid-binding protein"
3637735,"RIX7","CAALFM_C502120CA","putative AAA family ATPase"
3637733,,"CAALFM_C502130WA","hypothetical protein CAALFM_C502130WA"
3637752,,"CAALFM_C502140CA","pyridoxal 5\\'-phosphate synthase"
3637753,"ORC4","CAALFM_C502150CA","origin recognition complex subunit 4"
3637754,"SST2","CAALFM_C502160WA","GTPase-activating protein"
3637755,"GCD11","CAALFM_C502170CA","translation initiation factor eIF2 subunit gamma"
3637757,"LEU3","CAALFM_C502180CA","leucine-responsive transcriptional regulator"
30515303,,"CAALFM_C502190CA","mitochondrial 37S ribosomal protein YMR31"
3637758,,"CAALFM_C502200WA","hypothetical protein CAALFM_C502200WA"
3637759,,"CAALFM_C502210WA","hypothetical protein CAALFM_C502210WA"
3637760,,"CAALFM_C502220CA","polyphosphatase"
3637708,,"CAALFM_C502230WA","proteasome core particle subunit beta 7"
3637709,"PTH2","CAALFM_C502240WA","Pth2p"
3637710,"PTH1","CAALFM_C502260CA","putative phosphatidate cytidylyltransferase"
3637711,"THR4","CAALFM_C502270WA","threonine synthase"
3637712,,"CAALFM_C502280CA","hypothetical protein CAALFM_C502280CA"
3637713,"PDE1","CAALFM_C502290WA","3\\'\\5\\'-cyclic-nucleotide phosphodiesterase PDE1"
3637714,"RET2","CAALFM_C502300CA","coatomer subunit delta"
3637787,,"CAALFM_C502310CA","hypothetical protein CAALFM_C502310CA"
3637788,,"CAALFM_C502320CA","hypothetical protein CAALFM_C502320CA"
3637789,,"CAALFM_C502330WA","hypothetical protein CAALFM_C502330WA"
3637790,"CST20","CAALFM_C502340CA","mitogen-activated protein kinase kinase kinase kinase"
3637791,,"CAALFM_C502350CA","hypothetical protein CAALFM_C502350CA"
3637792,,"CAALFM_C502360CA","hypothetical protein CAALFM_C502360CA, partial"
3637793,,"CAALFM_C502370CA","hypothetical protein CAALFM_C502370CA"
3637794,,"CAALFM_C502380WA","hypothetical protein CAALFM_C502380WA"
3637795,,"CAALFM_C502390CA","hypothetical protein CAALFM_C502390CA"
3637724,,"CAALFM_C502400WA","palmitoyl-(protein) hydrolase"
3637726,,"CAALFM_C502410CA","hypothetical protein CAALFM_C502410CA"
3637727,"ZCF22","CAALFM_C502430WA","Zcf22p"
3637728,,"CAALFM_C502440CA","serine/threonine protein kinase"
3637729,,"CAALFM_C502450WA","glucose-induced degradation complex subunit"
3637731,"ECM331","CAALFM_C502460CA","Ecm331p"
3637761,"INT1","CAALFM_C502470WA","Int1p"
3637762,,"CAALFM_C502480WA","cleavage polyadenylation factor subunit"
3637765,"TIF5","CAALFM_C502490CA","translation initiation factor eIF5"
3637766,,"CAALFM_C502500CA","hypothetical protein CAALFM_C502500CA"
3637767,,"CAALFM_C502510CA","hypothetical protein CAALFM_C502510CA, partial"
3637768,,"CAALFM_C502520WA","hypothetical protein CAALFM_C502520WA"
3637769,"UAP1","CAALFM_C502530WA","UDP-N-acetylglucosamine diphosphorylase"
3637716,"SPR28","CAALFM_C502540CA","Spr28p"
3637718,"UTP13","CAALFM_C502550CA","Utp13p"
3637719,,"CAALFM_C502560CA","hypothetical protein CAALFM_C502560CA"
3637720,"MNN13","CAALFM_C502570WA","Mnn13p"
3637721,,"CAALFM_C502580WA","hypothetical protein CAALFM_C502580WA"
3637723,,"CAALFM_C502590CA","hypothetical protein CAALFM_C502590CA"
3637779,"PUT1","CAALFM_C502600WA","proline dehydrogenase"
3637780,"RAD9","CAALFM_C502610CA","chromatin-binding protein"
3637783,,"CAALFM_C502620CA","hypothetical protein CAALFM_C502620CA"
3637784,"MNN1","CAALFM_C502630CA","Mnn1p"
3637785,,"CAALFM_C502640WA","hypothetical protein CAALFM_C502640WA"
3637770,"IFH1","CAALFM_C502650CA","Ifh1p"
3637771,,"CAALFM_C502660CA","hypothetical protein CAALFM_C502660CA"
3637772,"BUR2","CAALFM_C502670WA","Bur2p"
3637774,,"CAALFM_C502680WA","hypothetical protein CAALFM_C502680WA"
3637775,,"CAALFM_C502690WA","hypothetical protein CAALFM_C502690WA"
3637776,"CTA7","CAALFM_C502700WA","Cta7p"
3637778,"TRR1","CAALFM_C502710WA","thioredoxin-disulfide reductase"
3637737,"PEP12","CAALFM_C502720WA","SNAP receptor"
3637738,,"CAALFM_C502730CA","iron-sulfur cluster assembly protein"
3637739,,"CAALFM_C502740WA","oxidoreductase"
3637740,,"CAALFM_C502750CA","hypothetical protein CAALFM_C502750CA"
3637741,"CKB2","CAALFM_C502760WA","casein kinase 2 regulatory subunit"
3637743,"MSW1","CAALFM_C502770WA","tryptophan--tRNA ligase"
3637803,,"CAALFM_C502780WA","hypothetical protein CAALFM_C502780WA"
3637806,"GAP1","CAALFM_C502790CA","Gap1p"
3637807,,"CAALFM_C502800CA","hypothetical protein CAALFM_C502800CA"
30515304,,"CAALFM_C502810WA","U4/U6-U5 snRNP complex subunit"
3637808,,"CAALFM_C502820CA","methylthioribulose 1-phosphate dehydratase"
3637809,,"CAALFM_C502830WA","hypothetical protein CAALFM_C502830WA"
3637810,"HSL1","CAALFM_C502840CA","protein kinase"
3637744,"GRP2","CAALFM_C502860CA","Grp2p"
3637746,"YNK1","CAALFM_C502890WA","nucleoside diphosphate kinase"
3637747,,"CAALFM_C502900WA","SAGA complex subunit"
3637750,"GYP8","CAALFM_C502910CA","Gyp8p"
3637751,,"CAALFM_C502920WA","hypothetical protein CAALFM_C502920WA"
3637811,"GRE3","CAALFM_C502930CA","trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+))"
3637812,"MIG1","CAALFM_C502940CA","transcription factor"
3637815,"DAP2","CAALFM_C502970WA","Dap2p"
3637816,,"CAALFM_C502980CA","hypothetical protein CAALFM_C502980CA"
3637817,,"CAALFM_C502990WA","hypothetical protein CAALFM_C502990WA"
3637818,,"CAALFM_C503000CA","hypothetical protein CAALFM_C503000CA"
3637819,,"CAALFM_C503010WA","U4/U6-U5 snRNP complex subunit"
3637821,"CCC2","CAALFM_C503020WA","Cu(2+)-transporting P-type ATPase"
3637822,,"CAALFM_C503030WA","hypothetical protein CAALFM_C503030WA"
3637824,,"CAALFM_C503040WA","hypothetical protein CAALFM_C503040WA"
3637826,"PGA58","CAALFM_C503050CA","Pga58p"
3637827,"TNA1","CAALFM_C503060CA","Tna1p"
3637700,"RPS5","CAALFM_C503070WA","ribosomal 40S subunit protein S5"
3637701,,"CAALFM_C503080CA","hypothetical protein CAALFM_C503080CA"
3637703,"VPS4","CAALFM_C503090WA","AAA family ATPase"
3637704,,"CAALFM_C503100CA","hypothetical protein CAALFM_C503100CA"
30515306,,"CAALFM_C503110CA","mRNA splicing protein"
3637705,,"CAALFM_C503120WA","GPI-anchor transamidase subunit"
3637706,"SUT1","CAALFM_C503130WA","Sut1p"
3637798,,"CAALFM_C503140CA","hypothetical protein CAALFM_C503140CA"
3637799,,"CAALFM_C503150WA","serine/threonine protein kinase"
3637800,"MED14","CAALFM_C503160WA","Med14p"
3637801,,"CAALFM_C503170CA","hypothetical protein CAALFM_C503170CA"
3646364,,"CAALFM_C503210CA","hypothetical protein CAALFM_C503210CA, partial"
3646362,"BUB3","CAALFM_C503240WA","Bub3p"
3646361,"RMS1","CAALFM_C503250WA","ribosomal lysine N-methyltransferase"
3646360,,"CAALFM_C503260CA","hypothetical protein CAALFM_C503260CA"
3646359,"TEF4","CAALFM_C503270WA","Tef4p"
3646358,"CAM1-1","CAALFM_C503280WA","Cam1-1p"
30515307,,"CAALFM_C503290CA","mitochondrial 37S ribosomal protein YmS-T"
3646357,,"CAALFM_C503300CA","hypothetical protein CAALFM_C503300CA"
3646356,"PCL1","CAALFM_C503310CA","Pcl1p"
3646355,"ZCF14","CAALFM_C503320CA","Zcf14p"
3646354,"ZCF13","CAALFM_C503330CA","Zcf13p"
3646352,"QCR2","CAALFM_C503350WA","ubiquinol--cytochrome-c reductase subunit 2"
3646351,"RPO26","CAALFM_C503360WA","DNA-directed RNA polymerase core subunit"
3646350,,"CAALFM_C503370CA","hypothetical protein CAALFM_C503370CA"
3646349,"ARP1","CAALFM_C503380WA","actin-related protein 1"
3646348,"FUR1","CAALFM_C503390CA","uracil phosphoribosyltransferase"
30515308,,"CAALFM_C503400CA","Sm-like protein"
3646347,,"CAALFM_C503410CA","mitochondrial 54S ribosomal protein YmL20"
3646346,,"CAALFM_C503430WA","hypothetical protein CAALFM_C503430WA"
30515310,,"CAALFM_C503440WA","hypothetical protein CAALFM_C503440WA"
3646345,,"CAALFM_C503460CA","hypothetical protein CAALFM_C503460CA"
3646963,,"CAALFM_C503470CA","hypothetical protein CAALFM_C503470CA"
3646965,,"CAALFM_C503480CA","hypothetical protein CAALFM_C503480CA"
3646967,,"CAALFM_C503490CA","hypothetical protein CAALFM_C503490CA"
3646968,"GAP6","CAALFM_C503500WA","Gap6p"
3646969,,"CAALFM_C503510CA","hypothetical protein CAALFM_C503510CA"
3646970,,"CAALFM_C503520WA","hypothetical protein CAALFM_C503520WA"
3646971,,"CAALFM_C503530CA","ubiquinone-binding protein"
3646972,"RPS25B","CAALFM_C503540CA","ribosomal 40S subunit protein S25B"
3646973,,"CAALFM_C503550WA","nucleoporin"
3646975,,"CAALFM_C503560WA","hypothetical protein CAALFM_C503560WA"
3646976,,"CAALFM_C503570WA","hypothetical protein CAALFM_C503570WA"
3646978,"CAC2","CAALFM_C503580CA","Cac2p"
3646979,"LAP4","CAALFM_C503590WA","Lap4p"
3646980,"MDJ1","CAALFM_C503600WA","Mdj1p"
3646981,"HEX1","CAALFM_C503610WA","Hex1p"
3646982,"BTS1","CAALFM_C503620WA","farnesyltranstransferase"
3646983,,"CAALFM_C503630CA","hypothetical protein CAALFM_C503630CA"
3646984,,"CAALFM_C503640WA","hypothetical protein CAALFM_C503640WA"
3646986,,"CAALFM_C503650CA","hypothetical protein CAALFM_C503650CA"
3646987,,"CAALFM_C503670CA","hypothetical protein CAALFM_C503670CA"
3646988,"FGR27","CAALFM_C503680WA","Fgr27p"
3646989,,"CAALFM_C503690WA","hypothetical protein CAALFM_C503690WA"
3646990,,"CAALFM_C503700CA","diphthine synthase"
3647240,,"CAALFM_C503710CA","hypothetical protein CAALFM_C503710CA"
3647238,,"CAALFM_C503730WA","hypothetical protein CAALFM_C503730WA"
3647237,,"CAALFM_C503740WA","hypothetical protein CAALFM_C503740WA"
3647236,"FAV2","CAALFM_C503750WA","Fav2p"
3647235,"MTR10","CAALFM_C503760CA","Mtr10p"
3647233,,"CAALFM_C503770CA","hypothetical protein CAALFM_C503770CA"
3647232,,"CAALFM_C503780CA","hypothetical protein CAALFM_C503780CA"
3647231,"GUK1","CAALFM_C503790WA","guanylate kinase"
3647230,,"CAALFM_C503800WA","hypothetical protein CAALFM_C503800WA"
3647229,,"CAALFM_C503810CA","hypothetical protein CAALFM_C503810CA"
3647228,"BUD7","CAALFM_C503820CA","exomer complex subunit"
3647227,,"CAALFM_C503830CA","chromatin modification protein"
3647226,,"CAALFM_C503840WA","thiamine diphosphokinase"
3647225,,"CAALFM_C503850WA","hypothetical protein CAALFM_C503850WA"
3647224,"HAM1","CAALFM_C503860WA","nucleoside triphosphate pyrophosphohydrolase"
3647223,,"CAALFM_C503870CA","hypothetical protein CAALFM_C503870CA"
3647222,,"CAALFM_C503880CA","hypothetical protein CAALFM_C503880CA"
30515312,,"CAALFM_C503890CA","hypothetical protein CAALFM_C503890CA"
30515313,"PGA56","CAALFM_C503900WA","Pga56p"
3647221,,"CAALFM_C503910CA","hypothetical protein CAALFM_C503910CA"
3647448,,"CAALFM_C503920CA","rRNA-processing protein"
3647447,,"CAALFM_C503930CA","hypothetical protein CAALFM_C503930CA"
3647446,,"CAALFM_C503940CA","hypothetical protein CAALFM_C503940CA"
3647445,,"CAALFM_C503950WA","hypothetical protein CAALFM_C503950WA"
3647444,,"CAALFM_C503960WA","hypothetical protein CAALFM_C503960WA"
3647443,,"CAALFM_C503970WA","hypothetical protein CAALFM_C503970WA"
3647442,,"CAALFM_C503980WA","hypothetical protein CAALFM_C503980WA"
3647441,"MID1","CAALFM_C503990WA","Mid1p"
3647440,"RFC3","CAALFM_C504000WA","replication factor C subunit 3"
3647439,,"CAALFM_C504010CA","hypothetical protein CAALFM_C504010CA"
3647438,"FGR42","CAALFM_C504020CA","Fgr42p"
3647737,,"CAALFM_C504030WA","hypothetical protein CAALFM_C504030WA"
3647735,,"CAALFM_C504050WA","hypothetical protein CAALFM_C504050WA"
3647733,"MEC1","CAALFM_C504060CA","protein kinase"
3647732,"CKS1","CAALFM_C504070CA","cyclin-dependent protein kinase regulatory subunit"
3647731,,"CAALFM_C504080CA","U2-type spliceosomal complex subunit"
3647730,"SUI1","CAALFM_C504090CA","translation initiation factor eIF1"
3647729,"CDS1","CAALFM_C504100WA","phosphatidate cytidylyltransferase"
3636521,"SCW11","CAALFM_C504110WA","putative glucan endo-1\\3-beta-D-glucosidase"
3636522,,"CAALFM_C504120CA","hypothetical protein CAALFM_C504120CA"
3636523,"CHT2","CAALFM_C504130CA","Cht2p"
3636524,,"CAALFM_C504140WA","hypothetical protein CAALFM_C504140WA"
3636525,,"CAALFM_C504150CA","hypothetical protein CAALFM_C504150CA"
3636542,"SDC1","CAALFM_C504160WA","Sdc1p"
3636543,,"CAALFM_C504170WA","hypothetical protein CAALFM_C504170WA"
3636544,,"CAALFM_C504180WA","hypothetical protein CAALFM_C504180WA"
3636545,"MRV2","CAALFM_C504190WA","Mrv2p"
3636546,"MRV3","CAALFM_C504200WA","Mrv3p"
3636547,"MRV4","CAALFM_C504210CA","Mrv4p"
3636548,"MRV5","CAALFM_C504220WA","Mrv5p"
3636549,"MRV6","CAALFM_C504230WA","Mrv6p"
3636450,"MRV8","CAALFM_C504250WA","Mrv8p"
3636451,,"CAALFM_C504260WA","hypothetical protein CAALFM_C504260WA"
3636452,"SAH1","CAALFM_C504270CA","adenosylhomocysteinase"
3636453,"GLN3","CAALFM_C504280CA","nitrogen-responsive transcriptional regulator"
3636455,,"CAALFM_C504290CA","hypothetical protein CAALFM_C504290CA"
3636456,,"CAALFM_C504300CA","metallodipeptidase"
3636477,,"CAALFM_C504310WA","hypothetical protein CAALFM_C504310WA"
3636480,,"CAALFM_C504320CA","hypothetical protein CAALFM_C504320CA"
30515314,,"CAALFM_C504330WA","hypothetical protein CAALFM_C504330WA"
3636481,,"CAALFM_C504340WA","protein disulfide isomerase"
3636482,,"CAALFM_C504350CA","putative serine hydrolase"
3636483,,"CAALFM_C504360CA","nucleotidase"
3636484,"PGA37","CAALFM_C504370CA","Pga37p"
3636485,,"CAALFM_C504380CA","hypothetical protein CAALFM_C504380CA"
3636407,,"CAALFM_C504390CA","hypothetical protein CAALFM_C504390CA"
3636408,"RNY11","CAALFM_C504400WA","ribonuclease"
3636410,,"CAALFM_C504410CA","hypothetical protein CAALFM_C504410CA"
3636411,,"CAALFM_C504420WA","hypothetical protein CAALFM_C504420WA"
3636412,"YUH2","CAALFM_C504430CA","Yuh2p"
3636413,"SFC1","CAALFM_C504440CA","Sfc1p"
30515316,,"CAALFM_C504460CA","hypothetical protein CAALFM_C504460CA"
3636414,,"CAALFM_C504470CA","hypothetical protein CAALFM_C504470CA"
30515317,,"CAALFM_C504480CA","hypothetical protein CAALFM_C504480CA"
3636503,"CAR1","CAALFM_C504490CA","arginase"
3636505,"GDE1","CAALFM_C504510WA","glycerophosphocholine phosphodiesterase"
3636506,"TIP41","CAALFM_C504520WA","Tip41p"
3636507,,"CAALFM_C504530WA","mitochondrial 37S ribosomal protein RSM26"
3636509,,"CAALFM_C504540CA","hypothetical protein CAALFM_C504540CA"
3636508,,"CAALFM_C504550WA","hypothetical protein CAALFM_C504550WA"
30515318,"CUP1","CAALFM_C504560CA","Cup1p"
3636510,"URA7","CAALFM_C504570CA","CTP synthase"
3636511,,"CAALFM_C504580CA","ESCRT-II subunit protein"
