ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSDARG00000078072	NA	NA	NA
ENSDARG00000078073	415176	nudt5	nudix (nucleoside diphosphate linked moiety X)-type motif 5
ENSDARG00000078075	541415	ilrun	inflammation and lipid regulator with UBA-like and NBR1-like domains
ENSDARG00000078076	100005680	nab2	NGFI-A binding protein 2 (EGR1 binding protein 2)
ENSDARG00000078077	562538	dph2	diphthamide biosynthesis 2
ENSDARG00000078078	110437730	LOC110437730	leucine-rich repeat and fibronectin type-III domain-containing protein 4-like
ENSDARG00000078083	569910	armc5	armadillo repeat containing 5
ENSDARG00000078087	562504	cnnm1	cyclin and CBS domain divalent metal cation transport mediator 1
ENSDARG00000078088	556807	si:ch211-186j3.6	si:ch211-186j3.6
ENSDARG00000078092	560139	limd2	LIM domain containing 2
ENSDARG00000078093	100137122	zgc:172065	zgc:172065
ENSDARG00000078094	571852	lmf2a	lipase maturation factor 2a
ENSDARG00000078095	101883257	cipcb	CLOCK-interacting pacemaker b
ENSDARG00000078101	570229	si:ch211-250k18.8p	si:ch211-250k18.8, pseudogene
ENSDARG00000078102	570918	psda	pleckstrin and Sec7 domain containing a
ENSDARG00000078105	562995	depdc5	DEP domain containing 5, GATOR1 subcomplex subunit
ENSDARG00000078106	777716	ocrl	OCRL inositol polyphosphate-5-phosphatase
ENSDARG00000078108	559168	dok1a	docking protein 1a
ENSDARG00000078109	565736	usp12a	ubiquitin specific peptidase 12a
ENSDARG00000078111	100537934	ap5z1	adaptor related protein complex 5 subunit zeta 1
ENSDARG00000078113	559659	atp5mea	ATP synthase membrane subunit ea
ENSDARG00000078114	100149189	si:ch73-237c6.1	si:ch73-237c6.1
ENSDARG00000078118	386721	sinhcafl	SIN3-HDAC complex associated factor, like
ENSDARG00000078119	100006678	sh3bp1	SH3-domain binding protein 1
ENSDARG00000078123	100334261	slitrk3a	SLIT and NTRK-like family, member 3a
ENSDARG00000078125	558727	rusc1	RUN and SH3 domain containing 1
ENSDARG00000078127	555331	neurl4	neuralized E3 ubiquitin protein ligase 4
ENSDARG00000078130	100002532	erich1	glutamate rich 1
ENSDARG00000078132	100004729	tex2l	testis expressed 2, like
ENSDARG00000078133	799441	kdm2ab	lysine (K)-specific demethylase 2Ab
ENSDARG00000078134	558389	crygm2f	crystallin, gamma M2f
ENSDARG00000078135	100004793	mrc2	mannose receptor, C type 2
ENSDARG00000078136	558528	wdr47a	WD repeat domain 47a
ENSDARG00000078138	559550	si:ch211-202h22.8	si:ch211-202h22.8
ENSDARG00000078139	100000135	appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2
ENSDARG00000078140	568411	si:dkey-18j18.3	si:dkey-18j18.3
ENSDARG00000078142	100333761	spag9b	sperm associated antigen 9b
ENSDARG00000078145	568268	si:ch211-218g4.2	si:ch211-218g4.2
ENSDARG00000078147	553957	il10	interleukin 10
ENSDARG00000078149	100003342	grin2ca	glutamate receptor, ionotropic, N-methyl D-aspartate 2Ca
ENSDARG00000078151	NA	NA	NA
ENSDARG00000078152	568129	si:dkey-56i24.1	si:dkey-56i24.1
ENSDARG00000078155	567844	inavaa	innate immunity activator a
ENSDARG00000078157	571483	slc18a1	solute carrier family 18 member A1
ENSDARG00000078159	569236	zgc:175284	zgc:175284
ENSDARG00000078162	101884995	LOC101884995	serine/threonine-protein kinase ste20-like
ENSDARG00000078163	562573	hpse2	heparanase 2
ENSDARG00000078164	563587	znf576.2	zinc finger protein 576, tandem duplicate 2
ENSDARG00000078166	100005357	si:dkey-78p8.1	si:dkey-78p8.1
ENSDARG00000078167	103910657	si:dkeyp-100h4.1	si:dkeyp-100h4.1
ENSDARG00000078169	568759	cacna2d2b	calcium channel, voltage-dependent, alpha 2/delta subunit 2b
ENSDARG00000078172	101883373	ptgfrn	prostaglandin F2 receptor inhibitor
ENSDARG00000078177	NA	NA	NA
ENSDARG00000078178	555597	art4	ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)
ENSDARG00000078179	572313	fndc3ba	fibronectin type III domain containing 3Ba
ENSDARG00000078180	569842	sc:d0202	sc:d0202
ENSDARG00000078182	100170776	zgc:194443	zgc:194443
ENSDARG00000078183	566238	zgc:165453	zgc:165453
ENSDARG00000078185	794778	pacs2	phosphofurin acidic cluster sorting protein 2
ENSDARG00000078186	798401	tex2	testis expressed 2
ENSDARG00000078187	797331	slc12a5b	solute carrier family 12 member 5b
ENSDARG00000078188	100001896	fam160a2	family with sequence similarity 160 member A2
ENSDARG00000078189	493631	crygm3	crystallin, gamma M3
ENSDARG00000078191	570537	zbtb46	zinc finger and BTB domain containing 46
ENSDARG00000078193	100004440	si:ch211-67e16.3	si:ch211-67e16.3
ENSDARG00000078195	393713	fhit	fragile histidine triad diadenosine triphosphatase
ENSDARG00000078201	100001105	vcam1a	vascular cell adhesion molecule 1a
ENSDARG00000078204	101885642	LOC101885642	beta-2 adrenergic receptor-like
ENSDARG00000078205	100331978	ccl34b.9	chemokine (C-C motif) ligand 34b, duplicate 9
ENSDARG00000078206	792896	zgc:171506	zgc:171506
ENSDARG00000078210	NA	NA	NA
ENSDARG00000078211	100536888	espnla	espin like a
ENSDARG00000078214	321277	mybbp1a	MYB binding protein (P160) 1a
ENSDARG00000078215	569240	rbsn	rabenosyn, RAB effector
ENSDARG00000078216	795505	eps15	epidermal growth factor receptor pathway substrate 15
ENSDARG00000078217	565383	cblc	Cbl proto-oncogene C, E3 ubiquitin protein ligase
ENSDARG00000078220	NA	NA	NA
ENSDARG00000078221	100003662	si:ch211-204d2.4	si:ch211-204d2.4
ENSDARG00000078222	100004850	aatka	apoptosis-associated tyrosine kinase a
ENSDARG00000078223	100004842	ora4	olfactory receptor class A related 4
ENSDARG00000078226	568508	cdh12a	cadherin 12, type 2a (N-cadherin 2)
ENSDARG00000078227	560393	cspg4	chondroitin sulfate proteoglycan 4
ENSDARG00000078233	556726	ctnnd1	catenin (cadherin-associated protein), delta 1
ENSDARG00000078234	556007	nlrc7	NLR family CARD domain containing 7
ENSDARG00000078238	572093	nacc1b	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing b
ENSDARG00000078241	571393	map7a	microtubule-associated protein 7a
ENSDARG00000078244	NA	NA	NA
ENSDARG00000078245	793584	gal3st1b	galactose-3-O-sulfotransferase 1b
ENSDARG00000078246	796740	si:ch211-114l13.4	si:ch211-114l13.4
ENSDARG00000078247	795653	vip	vasoactive intestinal peptide
ENSDARG00000078249	564076	unc13d	unc-13 homolog D (C. elegans)
ENSDARG00000078250	100189615	zgc:194398	zgc:194398
ENSDARG00000078251	556048	si:ch211-113e8.3	si:ch211-113e8.3
ENSDARG00000078254	100536151	ftr14l	finTRIM family, member 14-like
ENSDARG00000078256	100534921	ovol1b	ovo-like zinc finger 1b
ENSDARG00000078257	565950	ora5	olfactory receptor class A related 5
ENSDARG00000078258	100333757	ggt5b	gamma-glutamyltransferase 5b
ENSDARG00000078259	565822	bnip1a	BCL2 interacting protein 1a
ENSDARG00000078261	562601	nphp3	nephronophthisis 3
ENSDARG00000078266	30395	twist2	twist2
ENSDARG00000078267	567642	si:dkey-181m9.8	si:dkey-181m9.8
ENSDARG00000078270	100149322	mast4	microtubule associated serine/threonine kinase family member 4
ENSDARG00000078271	NA	NA	NA
ENSDARG00000078272	100329495	LOC100329495	calcium-binding protein 7-like
ENSDARG00000078279	101886699	foxp3b	forkhead box P3b
ENSDARG00000078280	555375	nkx3-1	NK3 homeobox 1
ENSDARG00000078281	503708	zgc:113407	zgc:113407
ENSDARG00000078283	100333177	si:zfos-323e3.4	si:zfos-323e3.4
ENSDARG00000078284	569706	phkb	phosphorylase kinase, beta
ENSDARG00000078285	100002256	pik3ap1	phosphoinositide-3-kinase adaptor protein 1
ENSDARG00000078289	NA	NA	NA
ENSDARG00000078297	569071	LOC569071	uncharacterized LOC569071
ENSDARG00000078299	558068	si:ch211-13f8.2	si:ch211-13f8.2
ENSDARG00000078301	100037321	zgc:162255	zgc:162255
ENSDARG00000078302	100334375	brinp1	bone morphogenetic protein/retinoic acid inducible neural-specific 1
ENSDARG00000078308	335098	spry2	sprouty RTK signaling antagonist 2
ENSDARG00000078309	568458	fam83b	family with sequence similarity 83 member B
ENSDARG00000078310	799918	cecr2	CECR2 histone acetyl-lysine reader
ENSDARG00000078311	564498	dcaf6	ddb1 and cul4 associated factor 6
ENSDARG00000078312	NA	NA	NA
ENSDARG00000078313	100332329	LOC100332329	myosin IXb-like
ENSDARG00000078315	553772	spring1	SREBF pathway regulator in golgi 1
ENSDARG00000078317	100007304	si:dkey-175m17.7	si:dkey-175m17.7
ENSDARG00000078318	100149766	tmod1	tropomodulin 1
ENSDARG00000078322	100149543	col12a1a	collagen, type XII, alpha 1a
ENSDARG00000078324	796720	prdm16	PR domain containing 16
ENSDARG00000078326	692277	arhgap10	Rho GTPase activating protein 10
ENSDARG00000078327	100318353	si:ch73-212j7.1	si:ch73-212j7.1
ENSDARG00000078328	324832	sec22a	SEC22 homolog A, vesicle trafficking protein
ENSDARG00000078329	108192159	LOC108192159	meiotic recombination protein REC8 homolog
ENSDARG00000078331	560608	best1	bestrophin 1
ENSDARG00000078333	568275	tmem234	transmembrane protein 234
ENSDARG00000078335	563421	amot	angiomotin
ENSDARG00000078348	100006417	tcf20	transcription factor 20
ENSDARG00000078349	101882351	LOC101882351	interferon-induced very large GTPase 1-like
ENSDARG00000078352	100302660	lyrm4	LYR motif containing 4
ENSDARG00000078355	557823	zc3h4	zinc finger CCCH-type containing 4
ENSDARG00000078362	100149028	zmp:0000000846	zmp:0000000846
ENSDARG00000078363	100334819	mcoln3a	mucolipin 3a
ENSDARG00000078364	570571	LOC570571	epoxide hydrolase 4-like
ENSDARG00000078366	NA	NA	NA
ENSDARG00000078378	NA	NA	NA
ENSDARG00000078381	100537975	trip11	thyroid hormone receptor interactor 11
ENSDARG00000078383	751762	mcrip1	MAPK regulated corepressor interacting protein 1
ENSDARG00000078386	767729	dync1i2a	dynein, cytoplasmic 1, intermediate chain 2a
ENSDARG00000078387	336478	si:dkey-92i15.4	si:dkey-92i15.4
ENSDARG00000078388	102725534	glis2a	GLIS family zinc finger 2a
ENSDARG00000078389	100302471	ifi27.4	interferon alpha inducible protein 27.4
ENSDARG00000078391	559900	fam98a	family with sequence similarity 98 member A
ENSDARG00000078392	100331155	chpfa	chondroitin polymerizing factor a
ENSDARG00000078394	NA	NA	NA
ENSDARG00000078398	110438987	LOC110438987	uncharacterized LOC110438987
ENSDARG00000078399	100332846	acsl2	acyl-CoA synthetase long chain family member 2
ENSDARG00000078401	100332095	LOC100332095	la-related protein 4
ENSDARG00000078404	571792	cdh26.1	cadherin 26, tandem duplicate 1
ENSDARG00000078411	555589	hspb15	heat shock protein, alpha-crystallin-related, b15
ENSDARG00000078415	100001372	lrrc3	leucine rich repeat containing 3
ENSDARG00000078416	564934	zeb2b	zinc finger E-box binding homeobox 2b
ENSDARG00000078417	100286775	plxdc1	plexin domain containing 1
ENSDARG00000078419	101884302	LOC101884302	filamin-A-interacting protein 1-like
ENSDARG00000078423	793726	zgc:194285	zgc:194285
ENSDARG00000078425	572518	oat	ornithine aminotransferase
ENSDARG00000078427	NA	NA	NA
ENSDARG00000078428	100333796	si:ch211-256e16.4	si:ch211-256e16.4
ENSDARG00000078429	678536	vtg4	vitellogenin 4
ENSDARG00000078430	567621	tiam1a	TIAM Rac1 associated GEF 1a
ENSDARG00000078433	100144563	spc25	SPC25 component of NDC80 kinetochore complex
ENSDARG00000078434	565874	znf692	zinc finger protein 692
ENSDARG00000078435	569473	anapc13	anaphase promoting complex subunit 13
ENSDARG00000078440	100329473	ccdc88aa	coiled-coil domain containing 88Aa
ENSDARG00000078441	449862	ppip5k2	diphosphoinositol pentakisphosphate kinase 2
ENSDARG00000078442	100332577	nop9	NOP9 nucleolar protein
ENSDARG00000078446	NA	NA	NA
ENSDARG00000078447	100007222	tctn1	tectonic family member 1
ENSDARG00000078448	100001171	gpr137ba	G protein-coupled receptor 137Ba
ENSDARG00000078451	100000986	gzm3	granzyme 3, tandem duplicate 1
ENSDARG00000078452	100329531	hmox2b	heme oxygenase 2b
ENSDARG00000078455	563711	best4	bestrophin 4
ENSDARG00000078458	562516	ppp1r37	protein phosphatase 1, regulatory subunit 37
ENSDARG00000078459	797445	cux1a	cut-like homeobox 1a
ENSDARG00000078468	565888	fap	fibroblast activation protein, alpha
ENSDARG00000078473	447862	nucks1a	nuclear casein kinase and cyclin-dependent kinase substrate 1a
ENSDARG00000078474	570113	myo15ab	myosin XVAb
ENSDARG00000078475	559613	klhl23	kelch-like family member 23
ENSDARG00000078476	641418	znf990	zinc finger protein 990
ENSDARG00000078479	793471	mocs1	molybdenum cofactor synthesis 1
ENSDARG00000078481	559344	uts2r2	urotensin-2 receptor 2
ENSDARG00000078485	101882811	LOC101882811	syntaphilin-like
ENSDARG00000078489	NA	NA	NA
ENSDARG00000078492	100333759	swi5	SWI5 homologous recombination repair protein
ENSDARG00000078494	101886422	LOC101886422	A disintegrin and metalloproteinase with thrombospondin motifs 14-like
ENSDARG00000078497	325855	timeless	timeless circadian clock
ENSDARG00000078500	559007	dap3	death associated protein 3
ENSDARG00000078502	799202	si:ch211-150o23.3	si:ch211-150o23.3
ENSDARG00000078503	101886409	si:dkey-76b14.2	si:dkey-76b14.2
ENSDARG00000078504	100332381	si:ch73-60h1.1	si:ch73-60h1.1
ENSDARG00000078507	553976	wnt8-2	protein Wnt-8a ORF2
ENSDARG00000078508	569039	si:dkey-266m15.6	si:dkey-266m15.6
ENSDARG00000078509	797891	socs4	suppressor of cytokine signaling 4
ENSDARG00000078512	559403	acaca	acetyl-CoA carboxylase alpha
ENSDARG00000078518	568748	kazald2	Kazal-type serine peptidase inhibitor domain 2
ENSDARG00000078519	NA	NA	NA
ENSDARG00000078520	571696	ikbip	IKBKB interacting protein
ENSDARG00000078522	555593	si:ch211-80h18.1	si:ch211-80h18.1
ENSDARG00000078523	100007346	ddr1	discoidin domain receptor tyrosine kinase 1
ENSDARG00000078525	568973	noctb	nocturnin b
ENSDARG00000078527	559074	lingo4b	leucine rich repeat and Ig domain containing 4b
ENSDARG00000078529	100302472	adgrb1b	adhesion G protein-coupled receptor B1b
ENSDARG00000078533	NA	NA	NA
ENSDARG00000078535	561887	lrrcc1	leucine rich repeat and coiled-coil centrosomal protein 1
ENSDARG00000078536	560805	si:ch211-158d24.2	si:ch211-158d24.2
ENSDARG00000078541	100332380	cers3a	ceramide synthase 3a
ENSDARG00000078542	569568	LOC569568	phosphatidylinositol 4,5-bisphosphate 5-phosphatase A
ENSDARG00000078546	555187	cars2	cysteinyl-tRNA synthetase 2, mitochondrial
ENSDARG00000078547	570749	si:ch211-264f5.2	si:ch211-264f5.2
ENSDARG00000078550	100005569	zgc:194839	zgc:194839
ENSDARG00000078551	100126807	zgc:171242	zgc:171242
ENSDARG00000078552	794613	grhl3	grainyhead-like transcription factor 3
ENSDARG00000078557	799595	si:ch211-57n23.4	si:ch211-57n23.4
ENSDARG00000078558	NA	NA	NA
ENSDARG00000078560	565213	slc9a5	solute carrier family 9 member A5
ENSDARG00000078561	571101	lrig2	leucine-rich repeats and immunoglobulin-like domains 2
ENSDARG00000078567	100317496	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like
ENSDARG00000078569	795504	mpeg1.3	macrophage expressed 1, tandem duplicate 3
ENSDARG00000078571	100004270	wdr6	WD repeat domain 6
ENSDARG00000078572	100003272	stox2b	storkhead box 2b
ENSDARG00000078574	100007636	si:dkey-21c19.3	si:dkey-21c19.3
ENSDARG00000078576	570278	setd5	SET domain containing 5
ENSDARG00000078578	793183	fam222bb	family with sequence similarity 222 member Bb
ENSDARG00000078582	563752	myo16	myosin XVI
ENSDARG00000078585	100073333	mon1a	MON1 secretory trafficking family member A
ENSDARG00000078592	446115	nomo	nodal modulator
ENSDARG00000078593	561317	vwa8	von Willebrand factor A domain containing 8
ENSDARG00000078598	100005114	si:ch1073-184j22.2	si:ch1073-184j22.2
ENSDARG00000078599	559552	micu3a	mitochondrial calcium uptake family, member 3a
ENSDARG00000078600	570705	ldlrad3	low density lipoprotein receptor class A domain containing 3
ENSDARG00000078602	100003535	ptger1c	prostaglandin E receptor 1c (subtype EP1)
ENSDARG00000078603	796782	myo1hb	myosin IHb
ENSDARG00000078604	556457	tbc1d10b	TBC1 domain family, member 10b
ENSDARG00000078605	559315	ptger1a	prostaglandin E receptor 1a (subtype EP1)
ENSDARG00000078606	799070	zgc:194224	zgc:194224
ENSDARG00000078608	NA	NA	NA
ENSDARG00000078611	NA	NA	NA
ENSDARG00000078613	795635	vhll	von Hippel-Lindau tumor suppressor like
ENSDARG00000078615	101885715	LOC101885715	inactive ubiquitin carboxyl-terminal hydrolase 53-like
ENSDARG00000078618	566188	inpp5kb	inositol polyphosphate-5-phosphatase Kb
ENSDARG00000078619	791647	pnp5a	purine nucleoside phosphorylase 5a
ENSDARG00000078620	567964	nlrp3	NLR family pyrin domain containing 3
ENSDARG00000078622	555679	scpp5	secretory calcium-binding phosphoprotein 5
ENSDARG00000078624	560923	arhgef9b	Cdc42 guanine nucleotide exchange factor (GEF) 9b
ENSDARG00000078625	101883614	fgf9	fibroblast growth factor 9
ENSDARG00000078636	NA	NA	NA
ENSDARG00000078638	100332505	zgc:171750	zgc:171750
ENSDARG00000078640	564664	fam117aa	family with sequence similarity 117 member Aa
ENSDARG00000078643	100537676	vtcn1	V-set domain containing T cell activation inhibitor 1
ENSDARG00000078644	561308	theg	theg spermatid protein
ENSDARG00000078645	NA	NA	NA
ENSDARG00000078647	450018	samsn1b	SAM domain, SH3 domain and nuclear localisation signals 1b
ENSDARG00000078649	100134975	il21r.2	interleukin 21 receptor, tandem duplicate 2
ENSDARG00000078650	559036	kcna4	potassium voltage-gated channel, shaker-related subfamily, member 4
ENSDARG00000078652	100005732	zfyve1	zinc finger, FYVE domain containing 1
ENSDARG00000078653	404612	ralbp1	ralA binding protein 1
ENSDARG00000078654	107966129	tpx2	TPX2 microtubule nucleation factor
ENSDARG00000078657	101885825	si:zfos-1324h11.5	si:zfos-1324h11.5
ENSDARG00000078658	568453	supt20	SPT20 homolog, SAGA complex component
ENSDARG00000078659	571908	tmem176	transmembrane protein 176
ENSDARG00000078671	445114	cdk5r2b	cyclin-dependent kinase 5, regulatory subunit 2b (p39)
ENSDARG00000078674	100137108	hspb9	heat shock protein, alpha-crystallin-related, 9
ENSDARG00000078675	568817	dock7	dedicator of cytokinesis 7
ENSDARG00000078676	570792	myrf	myelin regulatory factor
ENSDARG00000078683	110437942	LOC110437942	E3 ubiquitin-protein ligase RNF14-like
ENSDARG00000078685	100330077	rufy1	RUN and FYVE domain containing 1
ENSDARG00000078686	567222	arl8a	ADP-ribosylation factor-like 8A
ENSDARG00000078688	100330147	frs3	fibroblast growth factor receptor substrate 3
ENSDARG00000078691	100002679	gigyf1b	GRB10 interacting GYF protein 1b
ENSDARG00000078694	100331906	phlpp1	PH domain and leucine rich repeat protein phosphatase 1
ENSDARG00000078696	100001241	synpo2lb	synaptopodin 2-like b
ENSDARG00000078701	796276	prdm13	PR domain containing 13
ENSDARG00000078703	559236	unm_hu7910	un-named hu7910
ENSDARG00000078707	324910	sema7a	semaphorin 7A
ENSDARG00000078717	100141346	itga8	integrin, alpha 8
ENSDARG00000078722	797680	clip1a	CAP-GLY domain containing linker protein 1a
ENSDARG00000078725	NA	NA	NA
ENSDARG00000078728	569852	znf1068	zinc finger protein 1068
ENSDARG00000078729	100003167	ackr4a	atypical chemokine receptor 4a
ENSDARG00000078731	556241	si:dkey-85k7.12	si:dkey-85k7.12
ENSDARG00000078733	565702	cnnm2b	cyclin and CBS domain divalent metal cation transport mediator 2b
ENSDARG00000078734	565345	myo1f	myosin IF
ENSDARG00000078736	558815	doc2a	double C2-like domains, alpha
ENSDARG00000078738	100148280	nampt3.2	nicotinamide phosphoribosyltransferase 3, tandem duplicate 2
ENSDARG00000078741	566376	zgc:172136	zgc:172136
ENSDARG00000078743	100004138	oxgr1a.2	oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 2
ENSDARG00000078745	100126812	pnpla8	patatin-like phospholipase domain containing 8
ENSDARG00000078748	560240	si:ch211-137a8.4	si:ch211-137a8.4
ENSDARG00000078749	561505	b4galnt3a	beta-1,4-N-acetyl-galactosaminyl transferase 3a
ENSDARG00000078751	100331669	tpp2	tripeptidyl peptidase 2
ENSDARG00000078752	100000896	rubcn	rubicon autophagy regulator
ENSDARG00000078754	561889	gra	granulito
ENSDARG00000078755	571722	LOC571722	phospholipid phosphatase-related protein type 4-like
ENSDARG00000078757	108179231	LOC108179231	alpha-2-macroglobulin-like
ENSDARG00000078759	559535	dna2	DNA replication helicase/nuclease 2
ENSDARG00000078760	100148645	cacna2d3	calcium channel, voltage dependent, alpha2/delta subunit 3
ENSDARG00000078761	NA	NA	NA
ENSDARG00000078762	570044	tmem169b	transmembrane protein 169b
ENSDARG00000078763	NA	NA	NA
ENSDARG00000078767	100320774	yeats2	YEATS domain containing 2
ENSDARG00000078768	560644	abhd15a	abhydrolase domain containing 15a
ENSDARG00000078770	336430	si:ch73-21k16.5	si:ch73-21k16.5
ENSDARG00000078772	555713	nbr1b	NBR1 autophagy cargo receptor b
ENSDARG00000078773	100002535	tmem70	transmembrane protein 70
ENSDARG00000078775	100331895	rasa2	RAS p21 protein activator 2
ENSDARG00000078778	560885	lrch1	leucine-rich repeats and calponin homology (CH) domain containing 1
ENSDARG00000078781	100334833	si:ch211-161c3.6	si:ch211-161c3.6
ENSDARG00000078784	569620	mgaa	MAX dimerization protein MGA a
ENSDARG00000078785	393742	tmem258	transmembrane protein 258
ENSDARG00000078789	567248	tmem184c	transmembrane protein 184C
ENSDARG00000078790	101885955	lrrc18a	leucine rich repeat containing 18a
ENSDARG00000078797	797970	dennd3a	DENN/MADD domain containing 3a
ENSDARG00000078800	100150270	slc26a10	solute carrier family 26 member 10
ENSDARG00000078801	798497	msantd1	Myb/SANT-like DNA-binding domain containing 1
ENSDARG00000078802	100151141	rnf111	ring finger protein 111
ENSDARG00000078803	572219	gas2l1	growth arrest-specific 2 like 1
ENSDARG00000078805	100148772	ap5b1	adaptor related protein complex 5 subunit beta 1
ENSDARG00000078807	492631	paxx	PAXX non-homologous end joining factor
ENSDARG00000078810	562564	LOC562564	uncharacterized LOC562564
ENSDARG00000078814	100005466	si:dkey-34m19.3	si:dkey-34m19.3
ENSDARG00000078815	567452	grk5l	G protein-coupled receptor kinase 5 like
ENSDARG00000078817	572413	rnf165b	ring finger protein 165b
ENSDARG00000078821	100002638	si:ch211-225k7.5	si:ch211-225k7.5
ENSDARG00000078822	564276	ccdc18	coiled-coil domain containing 18
ENSDARG00000078824	100141487	si:ch211-66e2.3	si:ch211-66e2.3
ENSDARG00000078825	567931	bub1ba	BUB1 mitotic checkpoint serine/threonine kinase Ba
ENSDARG00000078828	563766	npb	neuropeptide B
ENSDARG00000078829	449999	ccdc149a	coiled-coil domain containing 149a
ENSDARG00000078832	NA	NA	NA
ENSDARG00000078835	100149182	mrpl58	mitochondrial ribosomal protein L58
ENSDARG00000078839	563710	LOC563710	leucine-rich repeat transmembrane neuronal protein 4
ENSDARG00000078841	101882552	si:ch211-195b13.6	si:ch211-195b13.6
ENSDARG00000078842	565181	tns1a	tensin 1a
ENSDARG00000078844	100007883	LOC100007883	uncharacterized LOC100007883
ENSDARG00000078847	560780	si:dkey-238o13.4	si:dkey-238o13.4
ENSDARG00000078850	564823	plekhm2	pleckstrin homology domain containing, family M (with RUN domain) member 2
ENSDARG00000078853	569202	arhgef19	Rho guanine nucleotide exchange factor (GEF) 19
ENSDARG00000078854	553582	tusc3	tumor suppressor candidate 3
ENSDARG00000078856	555979	slc22a23	solute carrier family 22 member 23
ENSDARG00000078859	568476	g0s2	G0/G1 switch 2
ENSDARG00000078864	567674	lats2	large tumor suppressor kinase 2
ENSDARG00000078865	557911	cxxc5a	CXXC finger protein 5a
ENSDARG00000078866	558391	sdk1a	sidekick cell adhesion molecule 1a
ENSDARG00000078868	797493	tmem74b	transmembrane protein 74B
ENSDARG00000078875	100322075	adm2b	adrenomedullin 2b
ENSDARG00000078878	NA	NA	NA
ENSDARG00000078882	570565	slc22a31	solute carrier family 22 member 31
ENSDARG00000078887	571658	atp10d	ATPase phospholipid transporting 10D
ENSDARG00000078888	100002928	iqgap1	IQ motif containing GTPase activating protein 1
ENSDARG00000078890	568432	wdfy3	WD repeat and FYVE domain containing 3
ENSDARG00000078891	100003958	map11	microtubule associated protein 1
ENSDARG00000078894	560620	hemk1	HemK methyltransferase family member 1
ENSDARG00000078898	568198	pcdh7a	protocadherin 7a
ENSDARG00000078901	100003659	anks1ab	ankyrin repeat and sterile alpha motif domain containing 1Ab
ENSDARG00000078902	568486	rims1b	regulating synaptic membrane exocytosis 1b
ENSDARG00000078904	570531	brd4	bromodomain containing 4
ENSDARG00000078908	567804	fbxo41	F-box protein 41
ENSDARG00000078911	100037380	zgc:163098	zgc:163098
ENSDARG00000078912	100332228	si:ch73-24k9.2	si:ch73-24k9.2
ENSDARG00000078915	570076	mmp17a	matrix metallopeptidase 17a
ENSDARG00000078916	563085	chrdl2	chordin-like 2
ENSDARG00000078917	565483	zgc:195245	zgc:195245
ENSDARG00000078918	568094	comtd1	catechol-O-methyltransferase domain containing 1
ENSDARG00000078922	NA	NA	NA
ENSDARG00000078924	449956	tmco4	transmembrane and coiled-coil domains 4
ENSDARG00000078927	108190035	LOC108190035	uncharacterized LOC108190035
ENSDARG00000078929	564613	abhd16a	abhydrolase domain containing 16A, phospholipase
ENSDARG00000078935	558702	ttll4	tubulin tyrosine ligase-like family, member 4
ENSDARG00000078938	799523	LOC799523	uncharacterized LOC799523
ENSDARG00000078941	554097	zgc:112234	zgc:112234
ENSDARG00000078942	566327	enox2	ecto-NOX disulfide-thiol exchanger 2
ENSDARG00000078947	556980	sdccag8	SHH signaling and ciliogenesis regulator sdccag8
ENSDARG00000078953	794862	epn3a	epsin 3a
ENSDARG00000078954	30530	rxrba	retinoid x receptor, beta a
ENSDARG00000078959	557460	tpcn3	two pore segment channel 3
ENSDARG00000078962	100330288	duox2	dual oxidase 2
ENSDARG00000078963	103908835	LOC103908835	general transcription factor II-I repeat domain-containing protein 2-like
ENSDARG00000078964	100330508	esyt2b	extended synaptotagmin-like protein 2b
ENSDARG00000078966	100136872	rbm15b	RNA binding motif protein 15B
ENSDARG00000078970	100134973	il7r	interleukin 7 receptor
ENSDARG00000078973	558466	uckl1b	uridine-cytidine kinase 1-like 1b
ENSDARG00000078974	796017	si:ch211-215a9.5	si:ch211-215a9.5
ENSDARG00000078975	100536458	LOC100536458	Ig lambda chain C region-like
ENSDARG00000078979	100151026	arhgef40	Rho guanine nucleotide exchange factor (GEF) 40
ENSDARG00000078981	563796	faxcb	failed axon connections homolog, metaxin like GST domain containing b
ENSDARG00000078983	799102	fam118b	family with sequence similarity 118 member B
ENSDARG00000078986	100003564	mplkip	M-phase specific PLK1 interacting protein
ENSDARG00000078989	100321139	alpk3a	alpha-kinase 3a
ENSDARG00000078991	100002956	nat8	N-acetyltransferase 8
ENSDARG00000078992	100318736	wnk1a	WNK lysine deficient protein kinase 1a
ENSDARG00000078994	NA	NA	NA
ENSDARG00000078995	797197	tex11	testis expressed 11
ENSDARG00000078997	100333376	dclk3	doublecortin-like kinase 3
ENSDARG00000079000	557086	tp53bp1	tumor protein p53 binding protein, 1
ENSDARG00000079008	101882768	si:dkey-7f3.9	si:dkey-7f3.9
ENSDARG00000079009	100136868	abca1b	ATP-binding cassette, sub-family A (ABC1), member 1B
ENSDARG00000079010	NA	NA	NA
ENSDARG00000079011	568794	col17a1b	collagen, type XVII, alpha 1b
